"dept","totenroll","endpoint"
"AA",911,20
"ACCT",1155,2
"AFRICAAM",543,9
"AFRICAST",76,9
"AMSTUD",341,43
"ANES",90,9
"ANTHRO",1002,31
"APPPHYS",392,25
"ARABLANG",197,8
"ARCHLGY",414,5
"ARTHIST",874,49
"ARTSTUDI",609,82
"ASNAMST",38,1
"ATHLETIC",478,30
"BIO",2857,174
"BIOC",313,9
"BIOE",1336,98
"BIOHOPK",96,1
"BIOMEDIN",388,20
"BIOS",352,3
"CBIO",126,3
"CEE",3783,99
"CHEM",5053,106
"CHEMENG",1428,27
"CHILATST",45,2
"CHINGEN",161,12
"CHINLANG",658,42
"CHINLIT",58,4
"CLASSICS",838,47
"CME",1820,141
"COMM",1289,51
"COMPLIT",363,15
"COMPMED",78,13
"CS",12363,1343
"CSB",200,4
"CSRE",328,21
"CTL",92,9
"DANCE",611,130
"DBIO",211,1
"DERM",9,1
"DLCL",121,3
"EARTHSCI",151,1
"EARTHSYS",1172,62
"EASTASN",124,2
"ECON",3360,216
"EDUC",4968,150
"EE",3975,260
"EESS",365,16
"ENERGY",858,22
"ENGLISH",1662,202
"ENGR",1962,200
"ENVRES",268,5
"ESF",292,2
"ETHICSOC",136,10
"FAMMED",46,2
"FEMGEN",414,15
"FILMPROD",178,19
"FILMSTUD",283,23
"FINANCE",1575,7
"FRENCH",132,4
"FRENLANG",361,52
"GENE",486,5
"GEOPHYS",527,4
"GERLANG",202,13
"GERMAN",119,5
"GES",602,9
"GLOBAL",7,5
"GSBGEN",2936,29
"HISTORY",2611,282
"HRMGT",375,1
"HRP",472,12
"HUMBIO",4328,290
"ILAC",704,20
"IMMUNOL",240,3
"INDE",1249,7
"INTNLREL",308,33
"IPS",440,3
"ITALIAN",70,2
"ITALIC",248,1
"ITALLANG",121,11
"JAPANGEN",165,11
"JAPANLIT",54,3
"JAPANLNG",394,7
"JEWISHST",16,2
"KORLANG",96,1
"LAW",6905,43
"LAWGEN",68,1
"LEAD",27,2
"LINGUIST",644,67
"MATH",2518,384
"MATSCI",1236,47
"MCS",19,1
"ME",5039,342
"MED",1001,70
"MGTECON",911,10
"MI",117,3
"MKTG",731,8
"MS&E",4467,382
"MUSIC",2207,199
"NATIVEAM",68,4
"NBIO",264,18
"NENS",141,2
"NSUR",28,1
"OB",2671,6
"OBGYN",36,1
"OIT",1516,6
"ORALCOMM",111,5
"ORTHO",138,5
"OSPBEIJ",48,2
"OSPBER",265,15
"OSPCPTWN",156,4
"OSPFLOR",195,2
"OSPKYOTO",125,3
"OSPMADRD",323,9
"OSPOXFRD",165,5
"OSPPARIS",276,13
"OSPSANTG",82,8
"OUTDOOR",95,17
"PATH",69,4
"PE",1806,49
"PEDS",290,21
"PHIL",1390,134
"PHYSICS",7880,121
"POLECON",582,6
"POLISCI",2010,179
"PSYC",483,99
"PSYCH",3138,319
"PUBLPOL",743,56
"PWR",1714,21
"RAD",71,5
"REES",18,2
"RELIGST",502,18
"SBIO",17,1
"SIW",116,6
"SLAVLANG",111,3
"SLE",397,10
"SOC",994,21
"SPANLANG",484,42
"SPECLANG",438,5
"STATS",2513,197
"STEMREM",108,1
"STRAMGT",2884,17
"STS",282,11
"SURG",966,28
"SYMSYS",252,9
"TAPS",1300,41
"THINK",2830,22
"UAR",286,1
"URBANST",344,54
"WELLNESS",367,23
